ID;Popis;ø. km
V(S14) ; soutok s bezejmennou vodoteèí (pravostranný pøítok od Svrkynì);12,33
Ž 12 ; železnièní viadukt mezi Okoøí a Kováry;12,38
V(S15) ; soutok s odpadem od rybníèkù pod Okoøí (pravostranný pøítok);12,4
B 3 ; zpevnìný brod pøed lávkou L30 pod Okoøí;12,736
R 2 ; rozdìlovací (vzdouvací) objekt pro náhon k rybníèkùm pod Okoø;12,752
L 30 ; provizorní ocelová lávka;12,758
V(S16) ; soutok s pùvodním odpadem od mlýna v Okoøi (levostranný pøítok);12,968
P 7 ; pøejezd (vjezd) k mlýnu pod Okoøí;13,108
S 22; kamenný stupeñ bez vývaru;13,382
S 23 ; betonový stupeò bez vývaru;13,424
L 31 ; provizorní døevìná lávka;13,439
V(S17) ; soutok s odpadem pøed osadou Colorado (levostranný pøítok);13,653
